은행코드,은행명,bank_code_labeled
A17,웰컴저축은행,0
007,수협은행,1
A16,예가람저축은행,2
034,광주은행,3
032,부산은행,4
039,경남은행,5
A05,OK저축은행,6
A23,하나저축,7
D07,머스트삼일저축은행,8
088,신한은행,9
011,농협은행,10
A09,The-K 저축은행,11
A11,HB 저축은행,12
A19,다올 저축은행,13
A15,애큐온저축은행,14
A14,신한저축은행,15
020,우리은행,16
020,대구은행,16
D05,드림저축은행,17
D02,대백저축은행,18
003,기업은행,19
D08,엠에스저축은행,20
Z03,카카오뱅크,21
E05,센트럴저축은행,22
E05,동양저축은행,22
A06,OSB저축은행,23
A03,KB저축은행,24
004,국민은행,25
E04,삼호저축은행,26
037,전북은행,27
031,대구은행,28
C10,조흥저축은행,29
A10,민국저축은행,30
B01,JT저축은행,31
F05,오투저축은행,32
F02,상상인플러스저축은행,33
B02,금화저축은행,34
B03,남양저축은행,35
B05,부림저축은행,36
071,우체국,37
A22,푸른저축,38
081,하나은행,39
D01,CK저축은행,40
E01,대한저축은행,41
A18,유안타저축은행,42
E03,동양저축은행,43
A07,SBI저축은행,44
A08,대신저축은행,45
C01,BNK저축은행,46
C09,우리저축은행,47
B04,모아저축은행,48
F01,대명저축은행,49
